tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1397280,movie,Taken 2,Taken 2,0,2012,\N,92,"Action,Crime,Thriller",6.2,329250
tt1396218,movie,Mr. Popper's Penguins,Mr. Popper's Penguins,0,2011,\N,94,"Comedy,Family,Fantasy",6,108615
tt13957560,movie,Dumb Money,Dumb Money,0,2023,\N,105,"Biography,Comedy,Drama",6.9,54933
tt13927994,movie,Salaar,Salaar: Part 1 - Ceasefire,0,2023,\N,175,"Action,Crime,Drama",6.6,74166
tt1392214,movie,Prisoners,Prisoners,0,2013,\N,153,"Crime,Drama,Mystery",8.2,857338
tt1392190,movie,Mad Max: Fury Road,Mad Max: Fury Road,0,2015,\N,120,"Action,Adventure,Sci-Fi",8.1,1153738
tt1392170,movie,The Hunger Games,The Hunger Games,0,2012,\N,142,"Action,Adventure,Sci-Fi",7.2,1032465
tt1390411,movie,In the Heart of the Sea,In the Heart of the Sea,0,2015,\N,122,"Action,Adventure,Biography",6.9,154001
tt1389137,movie,We Bought a Zoo,We Bought a Zoo,0,2011,\N,124,"Comedy,Drama,Family",7,155207
tt1389096,movie,Stand Up Guys,Stand Up Guys,0,2012,\N,95,"Comedy,Crime,Thriller",6.4,58565
tt1389072,movie,Downsizing,Downsizing,0,2017,\N,135,"Drama,Fantasy,Sci-Fi",5.8,130033
tt1386932,movie,Ip Man 2,Yip Man 2,0,2010,\N,108,"Action,Biography,Drama",7.5,113274
tt1386703,movie,Total Recall,Total Recall,0,2012,\N,118,"Action,Adventure,Sci-Fi",6.2,270685
tt1386697,movie,Suicide Squad,Suicide Squad,0,2016,\N,123,"Action,Adventure,Fantasy",5.9,737059
tt1386588,movie,The Other Guys,The Other Guys,0,2010,\N,107,"Action,Comedy,Crime",6.7,296758
tt1385867,movie,Cop Out,Cop Out,0,2010,\N,107,"Action,Comedy,Crime",5.5,91275
tt1385826,movie,The Adjustment Bureau,The Adjustment Bureau,0,2011,\N,106,"Crime,Drama,Mystery",7,276048
tt13841850,movie,Men,Men,0,2022,\N,100,"Drama,Fantasy,Horror",6,72330
tt13833688,movie,The Whale,The Whale,0,2022,\N,117,Drama,7.6,239767
tt13818368,movie,Fighter,Fighter,0,2024,\N,166,"Action,Drama",6.2,51706
tt1379182,movie,Dogtooth,Kynodontas,0,2009,\N,97,"Drama,Thriller",7.1,116075
tt1375670,movie,Grown Ups,Grown Ups,0,2010,\N,102,Comedy,6,291059
tt1375666,movie,Inception,Inception,0,2010,\N,148,"Action,Adventure,Sci-Fi",8.8,2652711
